기준연월,고객광역시군구명,전체이용건수,전체이용금액
202007,울산광역시,27824,786141663
202007,제주특별자치도,10172,262531131
202007,충청북도,120384,3637089906
202008,경기도,1233648,34543254124
202008,경상북도,72985,1974347797
202008,서울특별시,672492,20435995830
202008,인천광역시,213257,5817223483
202009,경상남도,83144,2517964500
202009,광주광역시,41605,1245463818
202009,대구광역시,57185,1692220714
202009,전라북도,105031,3320144635
202010,강원도,29256,790280954
202010,울산광역시,27492,837170821
202010,제주특별자치도,9904,247530744
202010,충청북도,122123,3806796516
202011,경기도,1094865,32398667276
202011,경상북도,67394,1996365221
202011,서울특별시,610216,20967227481
202011,인천광역시,194820,5514111493
202012,경상남도,77376,2297768228
202012,광주광역시,38143,1185596094
202012,대구광역시,53814,1497497898
202012,전라북도,92011,3075490069
202101,대전광역시,192086,6316912018
202101,부산광역시,68683,2352100016
202101,세종특별자치시,60619,2190943019
202101,전라남도,36527,1142807259
202102,강원도,23100,686199041
202102,울산광역시,23348,737583938
202102,제주특별자치도,7428,198645739
202102,충청북도,88355,2883256196
202103,경기도,1062027,33170380511
202103,경상북도,67440,2002072359
202103,서울특별시,576121,19165734630
202103,인천광역시,184268,5713669243
202104,경상남도,88677,2623596426
202104,광주광역시,41552,1248456214
202104,대구광역시,60934,1762808708
202104,전라북도,107751,3473731498
202105,대전광역시,255569,8712200114
202105,부산광역시,85549,2619158802
202105,세종특별자치시,79563,2836559286
202105,전라남도,53229,1705681885
202106,강원도,30196,809616400
202106,울산광역시,32908,919407952
202106,제주특별자치도,8922,229873124
202106,충청북도,109990,3582542287
202107,경기도,1167959,36023809722
202107,경상북도,70976,2044735832
202107,서울특별시,643114,21554320172
202107,인천광역시,201786,6106023048
202108,경상남도,87294,2460173370
202108,광주광역시,42502,1318773221
202108,대구광역시,60787,1740841441
202108,전라북도,109101,3473550188
202109,대전광역시,237482,8716856762
202109,부산광역시,80128,2520693721
202109,세종특별자치시,71956,2693018707
202109,전라남도,47548,1480980747
202110,경기도,1157402,35805679337
202110,경상북도,68624,2013607679
202110,서울특별시,641003,22465575612
202110,인천광역시,203359,6090752445
202111,경상남도,83795,2655783498
202111,광주광역시,42415,1456428117
202111,대구광역시,59761,1920663385
202111,전라북도,103077,3827959409
202112,대전광역시,193643,7490520627
202112,부산광역시,74949,2407429417
202112,세종특별자치시,63090,3082381116
202112,전라남도,40717,1475495074
202201,강원도,23244,727857931
202201,울산광역시,25179,780452579
202201,제주특별자치도,7266,240634417
202201,충청북도,84108,3222892831
202202,경기도,755811,25475835238
202202,경상북도,49277,1541303392
202202,서울특별시,426723,14783389614
202202,인천광역시,129476,4162037771
202203,경상남도,82509,2458994121
202203,광주광역시,40290,1291526746
202203,대구광역시,61613,1877835929
202203,전라북도,96754,3534542952
202204,대전광역시,240025,9575630579
202204,부산광역시,84129,2698353445
202204,세종특별자치시,76778,3280359861
202204,전라남도,47579,1661163215
202205,강원도,33664,991929632
202205,울산광역시,31009,987425711
202205,제주특별자치도,10026,281692649
202205,충청북도,120920,4447215711
202206,경기도,1237945,41069770859
202206,경상북도,74409,2419063937
202206,서울특별시,657308,22987422680
202206,인천광역시,213635,6842185804
201901,경기도,991616,31636085081
201901,경상북도,66683,2174196397
201901,서울특별시,522614,17677529822
201901,인천광역시,164820,5082848771
201902,경상남도,74804,2326379722
201902,광주광역시,40618,1081678837
201902,대구광역시,46335,1529072501
201902,전라북도,105078,3223538509
201903,대전광역시,272646,9241293610
201903,부산광역시,85949,2672626886
201903,세종특별자치시,93244,3148964176
201903,전라남도,64901,1988708376
201904,강원도,37793,995786232
201904,울산광역시,34106,1116456673
201904,제주특별자치도,13405,335710889
201904,충청북도,129195,4034499093
201905,경기도,1470231,40534953522
201905,경상북도,81406,2456368108
201905,서울특별시,773812,23698028626
201905,인천광역시,263712,6921264271
201906,경상남도,94836,2663148103
201906,광주광역시,52183,1403239508
201906,대구광역시,65496,1914746676
201906,전라북도,133291,3871996400
201907,대전광역시,286376,8975317602
201907,부산광역시,83256,2665501717
201907,세종특별자치시,93431,3159316637
201907,전라남도,57911,1682667534
201908,강원도,36177,983931563
201908,울산광역시,33242,1016586771
201908,제주특별자치도,12443,330643337
201908,충청북도,145160,4439410801
201909,경기도,1376223,36688096300
201909,경상북도,74173,2091353730
201909,서울특별시,737245,21632339006
201909,인천광역시,242451,6135474189
